# CFRU hook symbols resolved against Radical Red v4.1
# ROM pinned by ../rom.sha1. Generated by tools/resolve_cfru_hooks.py — do not hand-edit.
# 539 resolved, 84 unresolved (of 623 hooks)
#
# name  vanilla_hook_addr  rr_compiled_addr (Thumb bit set)

EmitPrintString                                         0x0800E2D4  0x09071A25
EmitPrintSelectionString                                0x0800E3EC  0x09071B59
EmitChooseMoveHook                                      0x0800E524  0x09042BAB
GetBattleTerrainOverride                                0x0800FC2C  0x090729AD
LoadBattleTerrainGfx                                    0x0800F260  0x090727D9
DrawBattleEntryBackground                               0x0800FAE0  0x09072A69
BuildTrainerPartyHook                                   0x0800FF7E  0x09042B8D
SpriteCB_WildMon                                        0x08011D64  0x09068BC9
SpriteCB_WildMonShowHealthbox                           0x08011DC8  0x09068C15
LoadProperAbilityBattleDataHook                         0x08013144  0x090430A5
BattleBeginFirstTurn                                    0x0801385C  0x0906FF21
TrainerSlidingEndTurnHook                               0x08013D14  0x09042D41
IsRunningFromBattleImpossible                           0x08013D54  0x09090475
DoubleWildUseItemRunFixHook                             0x080142D8  0x09042E09
PartyMenuSwitchingHook                                  0x08014450  0x09042C85
ForfeitBattleTowerHook                                  0x080146AC  0x09042EED
GetWhoStrikesFirst                                      0x08014CD8  0x0906F499
SetActionsAndBanksTurnOrder                             0x080150A8  0x0906FD41
TurnValuesCleanUpAdditionHook                           0x08015438  0x09042BE5
RunTurnActionsFunctions                                 0x080155C8  0x0906F52D
HandleEndTurn_BattleWon                                 0x08015670  0x09090125
HandleEndTurn_BattleLost                                0x0801578C  0x09090B63
HandleEndTurn_RanFromBattle                             0x08015850  0x090902E9
HandleAction_UseMove                                    0x08015CA0  0x09070701
TryRunFromBattle                                        0x08016748  0x0909053D
GetBankForBattleScript                                  0x08016E24  0x09073891
CancelMultiTurnMoves                                    0x080172E8  0x09073F01
PrepareStringBattle                                     0x080173AC  0x09071B39
TrySetCantSelectMoveBattleScript                        0x08017594  0x090AAA71
CheckMoveLimitations                                    0x0801779C  0x09075F85
TurnBasedEffects                                        0x08018258  0x090910B5
HandleFaintedMonActions                                 0x08018F90  0x09093045
HasNoMonsToSwitch                                       0x08019C10  0x090BF90D
SetMoveEffect                                           0x0801FF20  0x090BC1E1
FrontierCheckBattleOverHook                             0x08022400  0x09043221
OpenPartyScreenBatonPassExplosionFix                    0x08024C16  0x090434BD
CalcMonHiddenPowerType                                  0x0802B678  0x09083385
SpriteCB_SlideInTrainer                                 0x08033EEC  0x09068B91
HealthBarChangeAmountHook                               0x0804A00C  0x09043401
ExpBarChangeAmountHook                                  0x0804A066  0x0904341D
ReshowBattleScreenMonSpriteHook1                        0x08077CD2  0x090431BB
ReshowBattleScreenMonSpriteHook2                        0x08077ECA  0x090431D5
ReshowBattleScreenHealthboxSpriteHook                   0x08078104  0x090431F9
BattleUseFunc_PokeDoll                                  0x080A2010  0x09090701
LastUsedBallOverrideHook                                0x08032CEC  0x09043605
HandleInputChooseAction                                 0x0802E438  0x090A9EA1
SwitchMoveDataHook                                      0x0802EF90  0x09042BD9
MoveSelectionDisplayMoveType                            0x08030940  0x090A9D21
PlayerHandleFormChange                                  0x08031E40  0x09044B01
PlayerHandleChooseAction                                0x08032BD4  0x090AAF39
PlayerHandleExpBarUpdate                                0x08032F4C  0x09094475
HandleDataTransfer                                      0x08033134  0x090A92E1
OpponentHandleFormChange                                0x08037760  0x09044B09
HandleDataTransfer                                      0x08038A2C  0x090A92E1
AI_TrySwitchOrUseItem                                   0x08039C84  0x090C802D
LinkOpponentHandleFormChange                            0x0803C318  0x09044B11
HandleDataTransfer                                      0x0803D200  0x090A92E1
AIXItemStringHook                                       0x08016650  0x090435A1
XSpDefStatBoostHook                                     0x08041798  0x0904358D
PrepareStringForUsingXItem                              0x08042D50  0x090BEB69
GetMUS_ForBattle                                        0x08043FD4  0x0906EC61
LoadProperMusicForLinkBattlesHook                       0x080813B8  0x09042DB9
DoStandardWildBattle                                    0x0807F748  0x090C3175
BattleSetup_GetTerrainId                                0x0807FC5C  0x09072895
EndBattleFlagClearHook                                  0x080159DC  0x09002735
HandleIntroSlide                                        0x080BC3A0  0x090C1475
BufferStringBattle                                      0x080D7274  0x0907145D
BattleStringExpandPlaceholders                          0x080D7868  0x09071D05
DisplayStatStageMessage                                 0x080D8486  0x090430CD
BufferMaxMoveNameBattle                                 0x080D84F6  0x090443BD
ExpandedAbilityNamesBattle2                             0x080D860C  0x0904305D
MultiEnemyPokeballReadoutHook                           0x08049088  0x090444A7
MultiInitPokemonOrderHook                               0x0800D8A0  0x0904449D
MultiBattleAddSecondOpponentHook                        0x080132F8  0x090444C5
BattleIntroOpponent1SendsOutMonAnimation                0x0801359C  0x090AD2B9
MultiMoneyCalcHook                                      0x08025904  0x090444D5
IsMultiBattle                                           0x0811FA20  0x090AD5BD
PartnerSetupHook                                        0x0800D458  0x09044531
DisplayPartnerNameInPartyMenuHook                       0x08127AE8  0x09044571
TagTeamPartnerSendoutPokemonHook                        0x08013758  0x090445DD
TagTeamPokeballReadoutHook                              0x08048FAC  0x090445C1
SetNewPartySelectTarget2                                0x081200F8  0x090B45ED
PlayerHandleDrawTrainerPic                              0x0803227C  0x0907E959
PlayerHandleTrainerSlide                                0x08032428  0x0907E8B9
TagTeamBackspritePalHook                                0x08033530  0x0904458B
AIHandleItemUseHook                                     0x0800D2CC  0x09042B99
AIEmitChooseActionHook                                  0x080140C8  0x09042BBD
OpponentHandleDrawTrainerPic                            0x08037CD0  0x090687D1
OpponentHandleTrainerSlide                              0x08037EA4  0x09068915
OpponentHandleChooseMove                                0x080385B0  0x09068419
OpponentHandleChoosePokemon                             0x08038744  0x09068A29
GetMostSuitableMonToSwitchInto                          0x08039E3C  0x090D8231
BattleAI_DoAIProcessing                                 0x080C7038  0x090C6F3D
BattleAI_HandleItemUseBeforeAISetup                     0x080C6D0C  0x090C7989
MegaRetrieveDataHook                                    0x080148C0  0x090441E9
HandleInputChooseMove                                   0x0802EA10  0x090AB8B9
MoveSelectionDisplayMoveEffectiveness                   0x080308A8  0x090AB1F1
InitMoveSelectionsVarsAndStrings                        0x08032CB4  0x090ACC7D
PlayerHandleStatusIconUpdateHook                        0x0803301C  0x09044305
OpponentHandleStatusIconUpdateHook                      0x08038974  0x09044321
LoadHealthBoxesIndicatorHook                            0x08048398  0x0904433D
LoadMegaGraphicsHook                                    0x0803495C  0x090441F9
MegaLevelStringHook                                     0x080483A4  0x09044211
CreateShakerHook                                        0x0804BE80  0x090442C9
ObjcShakerHook                                          0x0804BEDC  0x090442E5
HandleSpeciesGfxDataChange                              0x08034BF4  0x0906791D
DynamaxPalFadeHook1_LoadOpponentGfx                     0x0803443C  0x09044355
DynamaxPalFadeHook2_LoadPlayerGfx                       0x080345FC  0x09044365
ClearTemporarySpeciesSpriteData                         0x0803589C  0x0907653D
RaidBattleCoordHook1                                    0x080744B0  0x09044375
RaidBattleCoordHook2                                    0x080744D8  0x09044385
LoadAndCreateEnemyShadowSprites                         0x08035538  0x0908E891
HandleDynamaxOnTurnEnd                                  0x08018C98  0x090936CD
DeadRaidMonSpriteHook                                   0x08077CC4  0x09044395
DeadRaidMonSpriteHook2                                  0x0807524C  0x090443A5
CreateSummaryScreenGigantamaxIconHook                   0x08139D2C  0x090443CD
SummaryScreen_ChangeCaughtBallSpriteVisibility          0x08139D54  0x0908DFE5
SummaryScreen_DestroyCaughtBallSprite                   0x08139D90  0x0908E055
BatonPassEffects                                        0x08012850  0x090430B1
GiveMonToPlayer                                         0x08040B14  0x0907D791
ScriptGiveMon                                           0x080A011C  0x0907767D
ItemId_GetName                                          0x0809A8BC  0x090A5131
GetAdjustedInitialTransitionFlags                       0x08055ACC  0x090B2965
Overworld_IsBikingAllowed                               0x08055C9C  0x090B1D91
apply_map_tileset_palette                               0x080599C8  0x0908CA7D
MetatileBehavior_IsDiveable                             0x08059FB0  0x090B28DD
MetatileBehavior_IsUnableToEmerge                       0x08059FCC  0x090B28E5
DiveSpeedHook                                           0x0805BA1C  0x09043395
AutoRunHook                                             0x0805BA30  0x09042F41
PlayerOnBikeCollide                                     0x0805C1AC  0x090B1FF1
GetLedgeJumpDirection                                   0x080680F8  0x090B224D
RunOnTransitionMapScript                                0x08069C44  0x090B1C1D
RunOnResumeMapScript                                    0x08069C50  0x090B1C59
TryRunOnFrameMapScript                                  0x08069C74  0x090B1C6D
GetInteractedMetatileScript                             0x0806D1F0  0x090B22B1
GetInteractedWaterScript                                0x0806D548  0x090B260D
TryStartStepCountScript                                 0x0806D698  0x090B1A55
PlayerGoThroughDoor                                     0x0807E80C  0x09096661
BattleSetup_ConfigureTrainerBattle                      0x08080228  0x090B0C89
SetTrainerFlags                                         0x080803FC  0x090B1489
BattleSetup_StartTrainerBattle                          0x08080464  0x090B1161
SetUpTrainerEncounterMusic                              0x08080628  0x090B1411
GetIntroSpeechOfApproachingTrainer                      0x080806D8  0x090B1349
GetTrainerCantBattleSpeech                              0x08080734  0x090B13C1
DoPoisonFieldEffect                                     0x080A0618  0x090B20D5
CheckForTrainersWantingBattle                           0x08081B30  0x090B0995
CanUseEscapeRopeOnCurrMap                               0x080A1B8C  0x090B2025
